Move,RPRICE,MPRICE
-175.4240335,0.13910641,0.020394168
-179.7053173,0.171746879,0.101119557
-142.090026,0.167777092,0.091301604
563.3711391,-0.548102055,-1.347751206
-104.0155153,0.243760942,0.555099829
-163.2956624,0.146163808,0.037848306
-106.0131652,0.165130567,0.084756303
121.6528274,-0.263540115,-0.785972134
-188.629075,0.269853687,0.501371713
-135.2695028,0.468218179,0.522499488
-129.2773141,0.000553861,-0.356220847
526.807358,0.165571655,0.085847186
0.261647162,-0.142748452,-0.676680473
-159.757232,0.144840546,0.034575655
-188.4747347,0.163807305,0.081483652
66.75625229,-0.226929859,-0.695428792
-156.8081473,0.287497184,0.545007058
-179.2699073,0.15101577,0.050217026
-115.5047744,0.171255264,0.100089553
-142.5824442,0.13949697,0.258443932
430.7628976,-0.675297943,-0.622696724
-117.7506355,0.212447047,0.396331033
317.806205,-0.806871664,-0.991944732
-166.443828,0.32916417,0.728411547
-89.9885631,0.10753921,0.159015104
-104.2199546,0.081073965,0.093562086
-156.7068748,0.09210115,0.120834177
-162.3217616,0.113273346,0.173196591
-128.7833312,0.111950084,0.169923941
328.1394035,-0.782605801,-0.946027219
446.5770717,-0.891530075,-1.054593927
-127.399574,0.432759307,1.118831753
105.5586593,-0.320772325,-1.150969623
-137.8081473,0.287497184,0.629139058
-167.056785,0.131114926,0.546317891
-145.2707568,0.08910227,-0.144679804
-135.8072335,0.133519706,0.508589286
268.6844379,-0.630317875,-0.901814674
-105.25228,0.257413852,0.692750378
-120.6203108,0.065361389,0.130339991
61.7390473,-0.118318376,0.150596685
-54.18139215,0.060643867,0.008960693
62.3539341,-0.339490572,-0.756902729
-152.1303559,0.240841009,0.179316839
-151.9409933,0.157581554,0.066272161
459.8795298,-0.541977358,-1.332786956
-116.1426729,0.288310772,0.665648076
-153.1977355,0.143466757,0.031363885
218.6231922,-0.538889746,-1.32515077
-204.217107,0.394171752,0.927460148
-143.2741919,0.163315691,0.080453648
-128.1462253,0.15317068,0.055363325
-170.1719804,0.148318718,0.043363605
-137.0689599,0.167726565,0.091362484
30.2895892,-0.250358019,-0.753553745
-173.0640805,0.007787205,-0.004593294
-193.4875532,0.326034378,0.601238612
33.41796027,-0.543300621,-1.336059606
-248.7792702,0.4766551,1.131455387
-161.2484368,0.168167652,0.092453368
-122.0178542,0.160228079,1.612285463
151.3309366,-0.766450205,0.287687265
-85.46214528,0.063085896,0.188905666
-76.97610237,-0.038661698,0.356262934
-26.48918216,-0.949688883,0.329071843
-67.85033129,0.048095947,0.403108619
-50.69808329,-0.018675852,0.315943198
-83.54069237,-0.059392806,-0.185778597
-95.19920153,0.024128495,-0.654426383
297.4742617,-0.760203991,0.087296942
-64.02129359,0.213417855,0.636156499
14.40994287,-0.399534545,-0.151290076
-97.29793373,0.138881718,0.020904959
-86.67141653,0.072859875,0.134863013
-97.42082128,0.06728142,-0.108133451
15.76369823,-0.594647088,0.102923797
-106.0301132,0.257007878,0.309732671
-49.97926441,-0.333756436,0.132089758
-97.93018716,0.169572879,0.148903144
5.482305168,-0.302433174,0.789444409
-36.38414359,0.046372429,0.2470865
-34.67445218,-0.035330958,-0.470901721
-113.3639731,0.062273777,0.122703806
146.8159081,-1.050964901,0.863759384
125.2067444,-0.997934851,0.154424648
148.2340624,-0.159328516,-0.482256327
-32.27349164,-0.313737068,-0.038892841
392.9591133,-0.525664595,0.889170562
57.7836808,-0.741498595,-0.182991851
414.3780706,-0.543891431,-0.429217983
4.851884742,-0.496011129,-0.292076723
90.20058928,0.018988188,0.174768226
-33.24551411,-0.158793612,0.685619613
-42.07814449,0.013784275,0.252854468
-77.16040983,-0.036510838,0.473308661
-65.30970535,-0.050129971,0.32789996
-66.2328445,-0.052776495,0.321354658
-51.59179812,-0.05189432,0.323536425
-73.89964599,-0.058510632,0.307173171
-40.3865662,-0.047483446,0.334445261
309.4335525,-0.764244768,0.085037683
4.194091345,0.021448647,-0.770175206
-118.6460659,0.060509428,0.118340271
185.7390473,-0.618318376,0.905105685
-44.08592579,0.85157085,0.047864596
-64.36677991,0.537435148,-0.566707004
-97.63582784,0.648666472,0.073219897
-91.30262933,0.642932336,0.05903841
351.4152779,-0.858832014,0.789007875
13.96396655,-0.407534864,-0.098842811
-105.4570443,0.879958534,-0.437477914
-83.81530465,0.64910756,0.554291781
333.6119734,-0.928966619,0.602455479
-8.617889331,0.782366898,-0.010094039
5.731808129,0.503545301,0.197783385
-1.781271659,0.492518115,-0.829411706
-104.0202061,0.63473048,0.018627987
-73.73770888,0.653697239,0.065535983
271.0824098,-0.863064083,0.023368405
-106.9980352,0.934756041,-0.136693299
10.36490708,0.155902676,0.070675402
-75.9143261,0.748423254,0.000735914
105.1850258,-0.560858646,0.028857823
-117.0691416,0.918168692,0.001803922
-83.19927846,0.652373977,0.062263332
80.28764176,-0.558653209,0.034312242
-115.376585,0.88875479,0.027862129
23.33181786,-0.828340775,0.060806984
-124.8574981,0.968055962,0.124659558
255.1576006,-0.834269957,0.052701368
-76.79280326,0.939166915,-0.125784463
-85.89183505,0.641787879,0.036082125
-78.9686959,0.644434403,0.084384427
-110.1489906,0.635187924,0.338925704
104.5897886,-0.860197737,0.127587081
291.6216149,-0.542227541,0.108951276
203.6322167,-0.334627522,-0.113015249
-78.47336127,0.843699269,0.020431967
